,Title,Location,Company,Salary
617,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
618,Data Scientist - Fraud,"Columbus, NY",Klarna,
619,Data Scientist,"New York, NY",Amex,
620,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
621,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
622,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
623,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
624,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
625,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
626,Data Scientist,"Corning, NY 14831",Corning,
627,newData Scientist,"New York, NY",BNY Mellon,
628,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
629,Data Scientist (Personalization),"New York, NY",The New York Times,
630,Data Scientist,New York State•Remote,AbleTo,
631,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
632,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
633,Data Scientist - Fraud,"Columbus, NY",Klarna,
634,Data Scientist,"New York, NY",Amex,
635,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
636,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
637,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
638,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
